,h_veg,r_st,LAI_min,LAI_max,Vr,alpha_veg,Vcan,k,f_red,z0,rs_soi,Ve,a,Vsoi,Vepi,Kepi,alpha_soi,Pm,Epotm,Tm,AI,ro_P_E,ETSI,PSI,Ip,Hp,H95,Dp,DS,DTR,RHm,WSm,Radm,CO2,Classes
594789,0.72669,116.45,23.339,3.7257,130.2,0.20066,0.23519,0.64276,0.037885,0.0065212,48.662,43.774,2.5558,41.079,207.92,44.366,0.32268,77.942,1175.7,23.961,15.084,-0.51735,0.42719,0.99285,10.913,51.426,341.15,1.8333,0.76667,16.813,3.9861,2.0531,48.614,610.55,C2
2287806,1.2558,73.873,23.358,2.0052,161.44,0.16647,0.20034,0.50774,0.0062657,0.0016644,93.141,27.392,2.4902,413.2,690.23,2.3385,0.36876,366.64,831.03,16.581,2.2666,-0.90356,0.54598,0.52449,6.9606,6.1149,77.2,2.169,0,11.825,50.176,2.8883,43.689,429.36,C2
6676997,0.62731,55.731,78.133,4.8841,164.64,0.21338,0.3762,0.40273,0.062909,0.004509,2.5771,44.467,2.5848,508.62,220.71,11.117,0.35228,546.41,715.22,3.945,1.3089,0.59682,0.8247,0.27714,5.4252,2.6463,26,2.3115,182.67,10.737,55.454,4.8438,36.443,429.36,C3
15542217,31.627,290.38,31.1,6.8496,238.56,0.15891,0.31155,0.58762,0.079413,0.011827,19.039,38.51,5.4994,129.35,296.37,13.324,0.35213,522.55,705.65,15.956,1.3504,-0.52221,0.74224,0.31021,6.5204,3.5826,31,1.8968,0,13.286,55.738,2.5784,42.124,429.36,C3
6252746,1.3777,109.47,72.618,3.5949,144.23,0.22744,0.28939,0.6164,0.048322,0.0029695,60.52,10.306,3.4827,43.434,424.52,0.30055,0.33215,97.529,1444,20.704,14.806,-0.65486,0.5264,0.84233,5.7842,21.875,206.65,1.4384,0,15.656,24.773,5.0491,46.032,429.36,C2
7851755,0.42137,99.965,31.424,3.162,157.97,0.23808,0.3668,0.60242,0.04914,0.00082858,60.051,34.235,3.1518,530.41,585.28,29.722,0.37802,450.47,697.19,15.101,1.5477,0.084885,0.65819,0.18267,6.1837,4.0563,34,2.2045,0,8.1251,62.072,4.8026,40.348,531.92,C2
2056472,0.42364,94.988,9.8303,3.5356,127.15,0.22713,0.20234,0.42147,0.022653,0.0098599,85.084,10.065,2.3426,188.59,596.71,14.908,0.39786,180.56,766.4,16.55,4.2445,-0.40578,0.65149,0.73973,5.8724,11.054,144.8,1.7281,4.5667,13.228,27.449,1.4087,43.564,610.55,C2
13290241,21.112,174.78,15.451,7.9251,332.78,0.11381,0.32886,0.59219,0.13256,0.00083774,48.158,32.945,5.328,249.98,676.73,23.419,0.34042,495.28,1057.5,23.308,2.1352,-0.92882,0.55775,0.69191,11.764,7.7586,99.1,1.8479,0,7.6106,64.216,5.6385,47.276,796.37,C3
2922016,0.6094,133.91,84.718,1.845,184.78,0.24541,0.21265,0.55414,0.11775,0.0053432,15.68,14.543,2.9832,380.97,617.97,11.834,0.31979,624.26,525.77,14.07,0.84222,0.16443,0.76815,0.20839,5.1799,2.1431,27,2.4893,3.6333,11.705,56.005,1.7942,39.788,610.55,C3
7591982,1.036,51.769,88.068,3.6121,132.7,0.24837,0.2653,0.66461,0.082012,0.0014393,35.352,5.5996,1.622,610.27,415.62,16.865,0.38011,842.9,516.02,6.3478,0.6122,-0.82314,0.84807,0.58645,7.3558,2.2427,51.9,2.9991,116.9,13.13,52.041,1.3393,37.33,531.92,C4
15692543,34.536,319.45,8.0965,7.5413,345.77,0.12951,0.20412,0.54646,0.06622,0.0078741,26.971,21.196,0.93996,285.04,246.75,32.093,0.33375,496.46,798.73,17.629,1.6089,-0.72373,0.54117,0.83591,8.9338,5.6487,150,2.2985,3.0333,15.723,23.401,1.1905,44.52,796.37,C2
