"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
29.152,48.669,5.1245,4.7443,88.795,0.3846,0.18826,3.9868,1.7733,0.45531,0.21317,1.5174,1.2271,0.40784,0.16939,2.9624,1.4765,5.2359,24.34,1.50E-05,16.008,27.036,30.576,9.38E-07,18.809,-0.88778,0.081088,32,Failure
28.552,48.108,3.3049,2.7612,92.765,0.35563,0.18885,16.152,1.755,0.32547,0.14215,6.8171,1.3685,0.29801,0.073609,1.0105,1.7111,7.4367,25.89,1.01E-05,17.035,25.486,35.678,9.62E-07,19.025,-1.3727,0.037473,42,Stable
27.993,48.308,4.5894,2.6943,85.644,0.3649,0.084063,7.9811,1.4662,0.46913,0.12258,0.83206,2.1625,0.37467,0.12497,3.3144,1.092,3.0265,28.099,1.48E-05,17.6,25.43,31.347,1.46E-06,18.677,-1.3983,0.0092624,59,Failure
28.673,48.34,4.8174,2.5806,76.858,0.28413,0.12435,2.3119,2.1519,0.5282,0.08073,5.8211,1.919,0.48819,0.07723,3.3955,2.6843,6.2964,23.716,9.23E-06,16.38,25.306,24.893,2.00E-06,19.025,-0.93958,0.17461,68,Failure
27.086,48.849,2.3764,3.4212,78.075,0.30639,0.27676,4.4464,1.3259,0.2738,0.13478,1.7163,1.0903,0.33232,0.12127,1.9053,1.7761,11.32,26.302,1.94E-05,17.739,24.808,40.913,1.30E-06,19.031,-0.95216,0.089064,14,Stable
27.663,48.221,3.4009,4.3884,94.31,0.50949,0.13119,15.218,2.4198,0.28064,0.14317,7.2963,1.3128,0.37051,0.17627,0.70921,2.8395,10.722,21.782,1.02E-05,17.044,24.888,42.126,2.31E-06,18.612,-1.0666,0.081851,35,Stable
29.357,48.815,4.8216,3.6586,87.722,0.4375,0.23017,1.0928,1.4444,0.41112,0.14734,5.4032,1.2333,0.28034,0.20657,1.7549,1.676,6.786,25.388,1.90E-05,16.706,26.06,30.649,1.47E-06,18.524,-1.1471,0.18332,67,Failure
27.873,48.57,3.8372,4.152,91.312,0.3642,0.097181,5.514,1.0552,0.47432,0.18835,6.4861,1.9147,0.55327,0.15635,40.567,1.4156,11.743,23.875,1.64E-05,16.515,26.364,36.614,1.69E-06,18.325,-0.58452,0.038789,11,Stable
27.172,48.588,4.4272,3.9813,86.916,0.54607,0.08979,5.4656,1.1212,0.33193,0.23744,4.533,1.6319,0.35742,0.14607,1.1138,1.5121,2.5672,23.46,8.46E-06,17.096,24.751,29.655,1.53E-06,19.879,-1.1707,0.14254,57,Failure
29.097,48.665,2.8408,3.7112,89.129,0.39824,0.098274,3.6741,2.6057,0.47907,0.16711,2.2686,1.7372,0.45811,0.14361,16.664,1.3365,5.9011,23.626,2.61E-05,16.482,24.529,32.492,3.56E-06,19.475,-1.252,0.15442,61,Stable
28.915,48.168,4.1432,2.86,80.589,0.51808,0.10595,4.2976,1.6839,0.51046,0.10636,0.45632,1.0526,0.32288,0.13684,1.3301,1.4988,5.9609,22.08,1.10E-05,16.715,25.21,35.303,1.64E-06,18.349,-1.055,0.052667,53,Failure
29.648,48.36,3.255,5.4117,60.812,0.39968,0.24298,31.304,1.8583,0.38912,0.098055,9.8998,1.439,0.37708,0.060698,6.0616,1.5017,7.8537,25.872,2.71E-05,16.229,25.701,29.191,2.48E-06,19.892,-1.1207,0.19491,48,Failure
28.15,48.747,2.4715,4.0986,65.166,0.44708,0.085618,10.449,1.2818,0.48445,0.19636,2.5981,2.0942,0.35067,0.15712,8.2232,1.4492,2.82,24.102,8.38E-06,17.482,22.351,32.031,1.57E-06,18.872,-0.96011,0.030612,26,Failure
27.913,48.335,3.4418,2.0364,90.182,0.45421,0.084761,1.1316,1.4111,0.3683,0.11623,0.97938,1.058,0.35263,0.18779,5.1104,1.7451,12.535,26.592,1.57E-05,17.68,24.928,35.486,3.97E-06,19.487,-0.68731,0.083351,43,Stable
28.166,48.729,5.3378,3.1267,66.719,0.38571,0.21331,6.5748,1.7504,0.48403,0.11293,4.6744,3.3012,0.42866,0.12728,2.9176,1.7077,10.001,28.227,2.21E-05,17.05,23.674,26.234,1.85E-06,18.91,-1.1604,0.068831,45,Failure
29.034,48.491,4.0049,3.1212,86.444,0.45812,0.3836,3.7066,1.392,0.428,0.14853,0.8,1.2538,0.38276,0.18691,2.145,1.4145,9.6859,24.997,1.59E-05,17.39,22.291,34.734,2.04E-06,18.614,-0.64569,0.043578,14,Stable
29.258,48.058,3.8767,2.2734,69.073,0.45843,0.14312,0.63232,1.1234,0.40245,0.13538,2.5787,1.7654,0.4283,0.18546,1.8343,2.3105,5.4133,24.846,3.42E-05,17.58,23.756,32.717,1.35E-06,19.3,-0.8363,0.13735,43,Failure
27.598,48.983,2.6938,2.5879,71.877,0.44845,0.1107,4.2296,2.5629,0.35566,0.27979,2.7433,1.9404,0.43413,0.10414,2.5391,1.2885,4.654,28.1,1.44E-05,17.492,25.814,33.556,2.28E-06,19.203,-0.95979,0.0090517,15,Stable
29.373,48.394,3.8742,5.0563,92.526,0.35953,0.3035,1.3577,2.364,0.55992,0.16959,3.8364,1.475,0.36407,0.041535,4.3768,2.3652,18.421,23.644,1.88E-05,16.991,26.495,30.891,1.36E-06,19.673,-1.0881,0.028691,21,Stable
29.179,48.741,3.1971,5.8687,83.473,0.45513,0.10872,8.2004,3.5687,0.45417,0.29231,1.6914,1.0887,0.47002,0.12403,3.5881,1.5,7.2805,25.574,1.49E-05,16.055,25.717,40.05,9.84E-07,18.915,-1.3477,0.088954,37,Stable
27.31,48.012,5.8468,3.5099,93.024,0.29488,0.14655,4.4036,1.2309,0.46728,0.10798,0.79224,1.2902,0.50202,0.21518,4.3318,1.7311,4.4352,23.723,1.16E-05,16.139,24.763,36.801,1.83E-06,19.198,-0.66021,0.0335,44,Failure
29.453,48.544,5.7461,3.7411,80.724,0.40529,0.1107,5.7845,1.8791,0.46553,0.17221,9.569,2.1562,0.30939,0.17537,2.4501,1.6405,10.383,24.021,1.28E-05,16.552,21.816,41.913,9.96E-07,18.733,-0.56062,0.18854,28,Failure
29.94,48.399,4.9361,3.4555,93.453,0.39102,0.086883,32.056,3.1456,0.37837,0.0923,6.029,2.0242,0.42845,0.12988,16.815,1.3532,10.763,25.065,2.22E-05,17.291,25.059,29.352,2.02E-06,18.16,-1.1341,0.15269,61,Failure
29.255,48.309,5.2175,3.405,81.401,0.4008,0.16492,9.2819,1.4815,0.41051,0.14239,10.904,1.3047,0.41333,0.17398,4.3897,1.0109,14.292,25.195,1.10E-05,16.736,25.938,29.834,1.07E-06,19.112,-1.314,0.11412,34,Stable
28.826,48.999,3.999,5.3171,71.829,0.48097,0.21903,10.045,1.6239,0.45024,0.10136,14.46,1.5215,0.4354,0.081007,35.701,1.0569,10.254,26.743,3.36E-05,17.718,24.084,30.783,1.20E-06,19.187,-0.83068,0.12864,19,Stable
29.344,48.339,4.8388,4.1159,72.396,0.38345,0.080029,2.3969,1.713,0.33693,0.13002,2.6679,1.2371,0.38135,0.20794,0.88313,1.225,9.9313,26.376,1.02E-05,17.823,27.513,37.994,2.07E-06,19.629,-1.0449,0.14079,23,Stable
27.669,48.373,2.7767,2.4118,72.362,0.36434,0.14892,7.659,1.2588,0.376,0.10984,5.6239,1.5809,0.44047,0.1154,1.5505,1.4641,14.628,25.786,5.86E-05,16.164,24.735,36.918,1.20E-06,18.363,-1.293,0.026241,57,Stable
29.199,48.185,4.002,5.3242,94.017,0.34891,0.10171,2.0378,1.342,0.35248,0.1241,14.597,1.8586,0.50716,0.16244,3.1909,1.5481,12.734,23.865,1.74E-05,17.364,26.317,33.848,1.35E-06,19.086,-1.4272,0.02731,72,Stable
29.033,48.253,2.4547,5.5126,87.84,0.47852,0.17761,0.32817,2.0461,0.4789,0.13819,7.4376,2.623,0.54162,0.1142,12.683,2.0472,0.047447,25.584,3.51E-05,16.388,22.792,37.706,1.24E-06,18.219,-1.1471,0.11426,25,Failure
29.916,48.581,4.108,5.1699,89.753,0.40073,0.11934,2.346,1.3108,0.5077,0.13888,12.133,1.2318,0.47406,0.16296,4.3712,1.4298,7.8383,25.352,2.22E-05,16.67,27.332,35.511,3.40E-06,19.812,-0.7065,0.0026393,66,Stable
27.946,48.824,3.9077,4.5349,69.475,0.38294,0.1903,4.8544,4.2541,0.28101,0.27208,4.9082,1.2453,0.40469,0.15843,6.325,1.6545,9.6827,26.034,2.53E-05,17.221,22.441,35.747,9.66E-07,18.132,-0.83882,0.037165,3,Stable
28.478,48.355,3.7014,4.0637,77.281,0.33126,0.13766,2.0894,1.8144,0.4405,0.093575,2.9771,1.0809,0.29982,0.14715,1.09,1.1409,9.5179,22.599,9.02E-06,17.555,22.395,29.453,3.77E-06,19.64,-0.64316,0.17135,20,Stable
29.606,48.495,4.5006,4.059,68.406,0.43636,0.18259,14.312,2.1835,0.36722,0.10779,11.124,2.2777,0.46393,0.11487,11.665,1.5333,9.5238,22.866,1.43E-05,16.495,26.87,40.472,1.52E-06,18.853,-0.51405,0.17871,47,Failure
28.872,48.429,2.3286,4.8268,73.426,0.39981,0.28332,1.2385,1.6492,0.45016,0.096723,12.366,1.7521,0.44049,0.10869,5.009,1.934,1.5701,26.32,2.84E-05,17.951,24.57,39.937,1.33E-06,19.554,-1.1719,0.12759,26,Failure
27.814,48.767,2.4641,5.5367,70.482,0.40081,0.16876,32.415,1.3065,0.38864,0.073246,1.2551,2.0166,0.36033,0.059473,15.046,1.204,7.5776,23.416,1.33E-05,17.741,25.59,33.596,2.49E-06,19.677,-1.367,0.025729,11,Stable
29.608,48.929,2.5223,3.6571,93.175,0.40133,0.26067,2.6796,2.028,0.35604,0.1031,4.7188,1.9593,0.40514,0.22014,1.7376,2.068,2.6921,27.964,1.73E-05,17.717,24.593,38.238,1.78E-06,19.622,-0.55064,0.13302,45,Stable
27.743,48.553,5.5485,4.895,65.999,0.43244,0.10131,14.164,2.3433,0.44669,0.34355,16.947,1.8429,0.33391,0.10521,26.054,2.1035,7.7833,24.968,1.13E-05,17.14,23.72,33.491,1.33E-06,18.893,-0.85305,0.073763,53,Failure
27.383,48.687,3.1514,3.2391,79.162,0.37915,0.1992,2.9709,1.9329,0.4166,0.10481,3.905,1.0368,0.35186,0.13906,4.8064,1.7664,8.6911,24.812,1.09E-05,17.006,25.788,33.06,1.63E-06,18.296,-1.0938,0.0072935,36,Stable
28.136,48.863,5.2566,5.3386,68.393,0.4697,0.10139,14.736,1.17,0.45848,0.20414,0.71855,1.3498,0.43338,0.15424,3.9994,1.2229,9.3995,25.174,1.77E-05,16.184,24.815,37.124,1.22E-06,18.604,-0.77937,0.063019,63,Failure
29.351,48.278,3.2976,3.6348,85.482,0.38244,0.13194,0.49565,2.658,0.41891,0.14424,3.498,1.7595,0.41989,0.16485,1.978,1.2889,11.821,25.801,1.97E-05,16.524,25.487,35.713,2.49E-06,18.58,-1.3912,0.18223,2,Stable
29.742,48.642,5.1266,5.0957,67.655,0.45078,0.21809,2.2398,2.0564,0.3732,0.1489,7.6469,1.6112,0.26208,0.15726,2.992,1.3052,10.395,21.587,1.06E-05,16.926,23.573,39.671,2.48E-06,18.211,-0.5727,0.06334,69,Failure
28.083,48.52,4.1634,3.6236,68.668,0.25785,0.14286,9.2977,1.2184,0.52429,0.33826,5.82,2.5711,0.30195,0.15948,13.787,2.244,3.709,23.932,1.28E-05,16.674,25.938,36.669,1.55E-06,19.759,-0.79492,0.10615,12,Failure
27.104,48.226,3.3863,4.9415,70.09,0.44621,0.084445,5.2779,1.113,0.45464,0.14134,1.1607,1.3878,0.38914,0.26443,2.8219,1.0931,0.64809,24.835,2.38E-05,17.862,22.26,39.326,1.91E-06,18.369,-1.3573,0.075652,19,Failure
29.714,48.412,4.167,3.5195,64.438,0.34356,0.086982,4.001,1.0778,0.46955,0.16745,5.8166,1.7115,0.54618,0.15188,4.5762,1.311,8.2358,28.529,1.91E-05,16.007,26.077,32.185,2.72E-06,19.28,-1.3888,0.019103,64,Stable
29.792,48.279,5.4485,2.6337,94.969,0.4898,0.14031,8.2581,1.3176,0.4535,0.09355,5.9593,1.947,0.48863,0.14352,18.296,1.3924,12.652,27.176,2.35E-05,16.302,26.686,34.628,1.32E-06,19.45,-1.2079,0.1453,57,Stable
28.77,48.338,2.3647,3.7922,68.724,0.50651,0.16616,8.2811,2.4995,0.36856,0.16851,12.324,1.3665,0.29781,0.12068,0.93605,1.0946,9.8866,24.004,2.11E-05,17.168,23.116,33.525,2.11E-06,18.512,-1.2119,0.19283,41,Stable
27.169,48.692,2.2765,4.4997,76.594,0.4825,0.17971,23.1,1.6921,0.4263,0.11785,1.98,1.1657,0.47941,0.094655,1.9402,2.2413,0.11795,25.124,1.36E-05,17.996,22.101,32.539,2.10E-06,19.727,-1.3,0.14295,63,Failure
29.646,48.725,5.9738,4.929,69.712,0.45018,0.14036,6.0565,1.3521,0.5434,0.16177,6.1129,2.432,0.36984,0.14208,10.699,1.3943,10.39,22.547,7.84E-06,16.05,24.059,40.38,1.12E-06,19.94,-0.54406,0.13364,13,Stable
29.221,48.804,5.3259,3.5068,86.152,0.36602,0.082038,1.0086,2.173,0.38891,0.065547,3.1363,2.4118,0.47598,0.13704,0.92128,2.8295,8.7122,23.072,2.15E-05,17.782,26.686,30.821,1.58E-06,19.017,-1.1161,0.14731,17,Failure
28.49,48.418,5.7019,2.5561,70.238,0.39483,0.11205,11.066,1.7984,0.40588,0.098355,7.4644,1.6086,0.46043,0.071472,10.799,1.1402,17.274,24.623,8.70E-06,16.035,27.758,29.297,2.48E-06,18.082,-0.93138,0.13926,11,Stable
29.491,48.36,3.5667,4.0029,77.187,0.47922,0.094244,1.1096,1.98,0.33803,0.11739,1.342,1.2664,0.38997,0.18167,4.779,1.0567,3.3704,23.96,1.68E-05,17.177,22.818,33.093,2.12E-06,19.316,-1.0621,0.098022,47,Failure
27.792,48.089,3.2439,5.4114,75.506,0.54313,0.22612,2.2683,2.531,0.35385,0.16908,7.8852,1.3817,0.4344,0.13106,4.6087,1.1908,9.8297,27.682,2.72E-05,17.707,26.97,45.662,8.33E-07,18.712,-0.80418,0.11437,4,Stable
27.426,48.189,3.0513,5.7817,70.625,0.28266,0.15231,0.56813,1.2978,0.3524,0.11612,1.708,2.2056,0.54521,0.21457,1.5128,1.5161,6.9025,27.888,2.28E-05,17.799,24.108,41.236,1.57E-06,19.863,-0.77421,0.17563,59,Stable
27.099,48.918,5.5479,5.345,88.573,0.41054,0.24444,5.2072,1.2853,0.32991,0.089335,0.83094,1.8701,0.3317,0.17083,1.0382,1.1674,2.5445,23.619,1.75E-05,17.377,26.875,36.892,8.95E-07,18.7,-0.65828,0.066083,59,Failure
29.682,48.849,4.4097,5.8227,69.723,0.43132,0.22229,8.5362,1.7085,0.35908,0.097244,5.8024,1.0852,0.44189,0.11975,0.89319,1.6549,9.6274,26.025,2.30E-05,16.809,24.112,34.291,1.26E-06,19.788,-1.1882,0.1848,59,Failure
27.489,48.996,4.4316,4.54,62.818,0.32135,0.098624,1.4,1.0304,0.25369,0.10368,12.339,1.4564,0.42123,0.16066,4.2398,1.6724,10.713,23.986,1.95E-05,17.068,24.456,34.701,2.04E-06,19.25,-1.0698,0.0096257,63,Stable
29.967,48.749,5.4322,3.0245,62.25,0.2784,0.15185,0.96914,1.4182,0.45729,0.12409,5.117,1.7944,0.48673,0.11422,14.191,3.3561,8.5902,24.096,1.49E-05,16.373,22.561,38.726,9.13E-07,18.778,-0.80689,0.17706,31,Failure
27.394,48.052,4.0238,5.1429,65.393,0.40816,0.16037,1.999,1.271,0.39029,0.081314,14.628,1.4776,0.40316,0.14383,25.207,1.5679,10.191,24.599,1.18E-05,17.135,25.395,38.067,2.27E-06,18.232,-0.84434,0.062966,63,Failure
28.973,48.685,5.5972,4.3929,62.63,0.3082,0.085584,1.6688,1.088,0.44093,0.062048,14.272,1.8236,0.28689,0.15741,1.8758,1.2834,8.0837,25.396,1.53E-05,17.437,26.071,31.722,1.21E-06,18.403,-1.4147,0.18352,31,Failure
29.621,48.924,5.6222,2.7149,64.444,0.31122,0.11669,0.76682,1.9691,0.38978,0.085861,3.1054,1.6913,0.47785,0.082561,10.348,1.1236,5.8551,20.84,1.04E-05,17.544,26.982,35.478,1.86E-06,19.095,-0.70968,0.099186,14,Failure
27.885,48.841,4.8338,4.1402,71.659,0.39192,0.097785,1.0884,1.3095,0.22831,0.13278,2.002,2.0117,0.45995,0.073663,1.1271,1.6664,10.962,28.107,2.61E-05,16.201,26.775,30.868,1.57E-06,19.516,-1.3362,0.0087712,22,Stable
27.818,48.58,5.91,4.9862,69.476,0.41339,0.093705,11.173,1.3911,0.35113,0.17757,1.4651,1.9037,0.45728,0.11245,29.908,3.7856,4.7363,23.54,1.05E-05,17.184,28.144,35.793,1.41E-06,18.404,-0.97254,0.042024,18,Failure
27.243,48.768,4.731,2.8653,63.074,0.37193,0.14235,6.8863,1.6545,0.37372,0.12338,6.0924,2.5396,0.40797,0.12405,2.8981,1.3484,7.8802,23.449,2.20E-05,17.442,26.482,34.31,1.06E-06,18.12,-1.1795,0.18433,48,Failure
27.559,48.858,4.0856,4.3703,75.093,0.34492,0.22049,6.4524,1.3769,0.44199,0.07654,11.753,2.4489,0.40685,0.077216,17.891,1.6305,1.9738,23.519,1.47E-05,17.54,27.275,32.363,2.04E-06,18.64,-0.81076,0.026099,12,Stable
29.28,48.395,5.0807,4.5405,84.509,0.36151,0.11746,3.8942,1.5463,0.36665,0.17522,0.29732,2.2722,0.36193,0.17938,6.5878,2.3395,6.0141,22.83,1.17E-05,16.296,25.496,37.4,1.92E-06,18.42,-0.85793,0.079546,21,Failure
29.729,48.12,5.1214,3.6697,86.744,0.41277,0.073869,0.36675,1.5548,0.52144,0.11549,14.936,1.3319,0.40265,0.1561,2.4422,2.2881,2.1728,22.47,8.45E-06,17.26,23.904,39.625,2.03E-06,18.374,-0.76988,0.0012916,11,Failure
28.934,48.444,3.3683,4.7512,74.214,0.54582,0.26045,14.675,2.3471,0.39219,0.2344,5.1524,1.2766,0.37903,0.16639,1.3334,1.5071,4.8883,23.438,8.87E-06,17.346,24.093,34.287,1.61E-06,18.149,-0.91503,0.19905,7,Stable
29.105,48.12,4.2554,2.2248,90.172,0.46244,0.11883,6.3224,2.8307,0.42046,0.15285,1.6241,1.4257,0.45531,0.1409,1.0295,1.7113,9.1706,25.502,1.99E-05,16.844,23.824,38.235,1.69E-06,18.257,-0.85153,0.088522,64,Stable
27.135,48.068,2.881,4.8931,65.667,0.39712,0.16021,5.5134,1.1268,0.57733,0.18252,2.293,1.3666,0.25527,0.23643,21.125,1.7708,6.2198,25.565,1.67E-05,17.66,25.747,37.393,1.55E-06,18.667,-1.1372,0.0017734,3,Stable
29.671,48.499,3.3774,5.2683,94.062,0.38213,0.14079,0.31682,2.036,0.41849,0.071318,0.78841,1.7605,0.27074,0.19337,0.56586,1.6413,7.825,23.849,1.97E-05,17.933,24.26,31.599,1.20E-06,19.403,-0.81117,0.072625,44,Failure
29.018,48.38,2.0496,2.4507,85.626,0.5006,0.14177,0.79446,2.0133,0.34112,0.10578,2.5323,1.9045,0.49331,0.12404,2.6122,1.7362,4.1054,25.399,4.16E-05,17.654,26.495,33.202,1.32E-06,19.408,-0.64447,0.096032,55,Stable
27.495,48.166,2.1428,3.4,83.676,0.54222,0.14608,3.8692,1.829,0.33339,0.14928,4.4863,1.5392,0.51307,0.10517,11.098,1.5244,8.8858,23.47,1.48E-05,17.146,23.31,37.068,1.44E-06,19.405,-0.90766,0.11314,36,Stable
28.595,48.001,5.1391,3.2176,67.018,0.48388,0.050119,4.3221,1.2715,0.39836,0.25791,10.243,1.3245,0.39825,0.11624,3.3557,1.7408,9.0983,25.864,1.81E-05,16.929,25.426,36.4,1.24E-06,19.543,-1.2048,0.10689,35,Failure
28.872,48.511,4.5772,2.4377,69.026,0.43,0.18387,3.3372,2.166,0.47059,0.084701,2.2083,1.209,0.43189,0.11781,1.7727,1.4635,14.599,22.532,1.83E-05,17.935,27.642,36.799,1.28E-06,18.614,-0.84478,0.17505,4,Stable
29.894,48.283,2.3736,5.919,85.813,0.49301,0.11549,2.7762,1.2462,0.39293,0.16239,0.71771,1.2201,0.512,0.17655,23.79,1.0233,7.4661,25.254,9.19E-06,16.867,22.431,28.233,1.94E-06,18.93,-1.0278,0.039754,70,Failure
28.708,48.306,2.8493,3.5064,92.632,0.25837,0.07945,9.0145,1.6347,0.43585,0.069087,1.0951,2.008,0.41019,0.11126,0.25526,1.7505,6.7784,25.465,1.89E-05,17.93,24.39,42.293,1.25E-06,19.227,-1.0861,0.088375,68,Stable
28.733,48.651,4.1171,3.4811,79.335,0.42791,0.10437,6.6779,1.258,0.41404,0.096398,0.57093,1.943,0.30984,0.19562,3.811,1.7846,16.299,24.597,9.42E-06,16.323,25.589,36.764,1.44E-06,19.181,-0.54154,0.074812,33,Stable
29.812,48.457,4.4134,4.9458,82.459,0.43484,0.087981,2.7897,2.1566,0.41814,0.13978,11.883,1.077,0.49847,0.12437,2.8363,1.5495,8.5052,27.954,4.04E-05,16.743,22.894,36.751,3.41E-06,19.413,-1.3986,0.17135,36,Failure
28.977,48.388,3.2577,2.8251,89.111,0.42929,0.13467,0.59025,2.0372,0.44937,0.10479,0.7336,2.1529,0.49365,0.086457,5.5565,1.3563,9.8867,25.296,1.08E-05,17.809,28.157,36.818,1.46E-06,19.287,-1.385,0.015182,56,Stable
27.298,48.278,3.1201,2.2477,62.756,0.4392,0.14787,1.3708,1.8826,0.45115,0.24944,2.083,1.7731,0.42022,0.25911,8.1827,1.649,5.9724,28.6,1.39E-05,17.819,26.298,32.286,1.02E-06,19.596,-0.7054,0.1551,26,Stable
29.413,48.517,4.4487,4.705,60.24,0.35457,0.24093,22.387,1.9084,0.40724,0.1853,2.5507,1.734,0.4671,0.089523,3.8172,1.8327,6.7359,27.188,2.39E-05,16.887,22.398,36.064,2.08E-06,19.819,-1.2944,0.14902,10,Failure
27.097,48.519,3.9881,4.2234,83.259,0.48702,0.15085,3.1796,2.6421,0.46116,0.13458,0.36411,2.7656,0.33838,0.12166,0.60837,1.0784,2.7132,24.148,1.39E-05,16.216,22.275,30.546,1.28E-06,18.604,-0.85225,0.15991,57,Failure
28.982,48.641,2.4572,2.0664,76.09,0.2864,0.10107,2.1835,1.1286,0.32627,0.12172,17.16,2.0759,0.49705,0.10569,1.5336,2.6988,6.7787,23.485,1.68E-05,17.181,25.633,42.206,1.16E-06,19.42,-0.58047,0.14393,9,Stable
28.793,48.383,4.0671,3.9795,72.455,0.44096,0.18313,4.7975,1.3225,0.43391,0.092459,0.93638,1.2048,0.39488,0.13114,7.4732,1.3904,10.196,24.576,1.01E-05,17.689,23.679,30.872,7.80E-07,19.455,-0.99948,0.18386,23,Stable
27.543,48.051,3.1485,3.7126,76.925,0.35741,0.17656,0.35238,2.0464,0.49797,0.15802,0.44122,1.2189,0.41095,0.1802,9.2252,1.6945,4.0305,21.945,1.38E-05,17.526,25.443,32.282,2.13E-06,19.956,-0.64115,0.16536,36,Failure
27.221,48.292,3.3444,4.07,64.225,0.46096,0.14211,2.1992,2.0606,0.41538,0.17919,2.1889,1.8695,0.37954,0.21517,0.57315,1.3503,7.3555,25.642,2.05E-05,16.215,25.767,32.801,2.60E-06,18.237,-1.2023,0.064227,39,Stable
29.964,48.062,5.8447,4.8132,82.296,0.35579,0.1658,9.3459,1.2835,0.37254,0.13322,0.76608,1.5483,0.42427,0.14037,2.4629,2.3063,4.2284,22.77,1.53E-05,16.306,25.927,30.071,2.86E-06,19.058,-0.78079,0.14078,36,Failure
28.284,48.095,4.2023,4.0867,92.608,0.42461,0.2097,9.0943,1.8849,0.37609,0.088337,9.3156,1.6758,0.31102,0.168,7.2401,1.8822,8.4495,25.908,1.44E-05,17.716,24.831,32.699,1.66E-06,19.596,-1.3112,0.10716,34,Stable
29.277,48.958,5.5252,4.2848,61.452,0.42101,0.12021,0.84334,1.0924,0.33759,0.10189,6.82,1.8742,0.32536,0.11676,2.1863,1.2227,3.4796,24.435,9.57E-06,17.129,23.817,36.813,1.53E-06,19.444,-1.0866,0.18157,62,Failure
29.616,48.855,3.7168,3.4536,70.552,0.44125,0.13507,16.582,2.3957,0.29061,0.094945,1.3964,2.3348,0.41115,0.11273,3.4962,1.1441,3.1259,23.33,1.54E-05,16.955,27.287,28.677,1.20E-06,19.226,-1.0073,0.14881,52,Failure
29.13,48.091,4.1488,2.6407,93.31,0.4552,0.20682,1.9937,2.3963,0.39926,0.11943,0.51601,2.1191,0.38139,0.26333,1.0859,1.6482,5.9751,26.104,2.27E-05,16.711,26.095,39.797,2.24E-06,18.787,-0.7905,0.004028,56,Stable
29.703,48.407,2.7227,2.5588,88.23,0.45048,0.18762,3.0862,1.2219,0.55338,0.2236,1.0824,1.4841,0.42691,0.096132,2.4905,1.9654,13.682,25.482,1.77E-05,16.462,27.089,38.457,1.27E-06,19.998,-1.302,0.019354,23,Stable
29.486,48.029,3.6736,4.9588,91.273,0.44089,0.11127,0.45236,2.3198,0.33564,0.22119,1.2507,1.697,0.45017,0.10535,2.8282,1.2564,8.4557,21.352,1.31E-05,16.956,24.641,32.388,1.53E-06,18.924,-0.58024,0.10444,22,Failure
27.106,48.128,4.2985,5.5771,70.351,0.29046,0.10812,6.1062,2.4182,0.3687,0.14927,0.87327,1.0613,0.52315,0.10557,6.8085,1.0015,12.326,23.778,2.26E-05,16.955,24.281,35.139,7.41E-07,19.372,-1.2352,0.023163,67,Stable
29.718,48.032,2.609,3.4264,70.637,0.35967,0.099655,3.6803,1.2827,0.43732,0.18126,6.9798,1.6713,0.42706,0.085375,6.7306,1.79,7.1493,22.15,2.26E-05,16.094,26.158,40.403,2.59E-06,18.531,-1.1675,0.12022,60,Stable
28.718,48.137,5.6397,4.4775,63.184,0.38631,0.13128,1.8966,1.583,0.41278,0.24689,22.016,2.2034,0.41603,0.15357,1.6735,1.5537,9.7884,23.631,1.72E-05,17.116,23.865,37.325,1.28E-06,18.091,-0.77424,0.13131,35,Failure
29.215,48.761,5.0725,5.5843,65.267,0.36041,0.090795,1.766,1.9639,0.35405,0.10117,2.9219,2.212,0.46971,0.097772,2.0304,1.5396,12.764,26.697,1.38E-05,17.737,27.177,36.962,1.15E-06,19.515,-1.2223,0.15013,49,Stable
28.525,48.047,2.259,3.7901,90.616,0.35688,0.17748,32.843,1.1111,0.59923,0.21518,2.0409,1.7399,0.40985,0.15059,1.6816,1.3916,8.9187,24.124,1.48E-05,16.78,24.842,36.422,1.92E-06,19.396,-1.0629,0.059484,50,Stable
29.594,48.21,5.9764,4.5249,88.861,0.41662,0.15062,93.807,1.5718,0.39008,0.11383,2.2298,2.5348,0.2984,0.21389,5.8716,1.4536,5.2955,23.368,1.49E-05,16.332,24.22,32.526,2.37E-06,18.453,-0.89145,0.015455,72,Failure
