"This dataset is retrieved from Almeida et al. (2017) NHESS. It consists of 10,000 data points (rows) of 28 input variables (columns) of a slope stability model. The variables are model parameters characterising the slope geometry, soil and design storm properties and initial hydrological conditions. The model output is the slope factor of safety (FoS) and according to its value we can distinguish two classes in the dataset (last column): Stable (FoS>1) and Failure (otherwise)                                                                                                                                                                                                                                                                                                                                                            Almeida, S., Holcombe, E., Pianosi, F., & Wagener, T. (2017). Dealing with deep uncertainties in landslide modelling for disaster risk reduction under climate change. Natural Hazards and Earth System Sciences, 17(2), 225-241.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta,H,H0,H1,DWT,theta_s_0,theta_r_0,alpha_0,n_0,theta_s_1,theta_r_1,alpha_1,n_1,theta_s_2,theta_r_2,alpha_2,n_2,c_0,phi_0,K_sat_0,gamma_us_0,c_1,phi_1,K_sat_1,gamma_us_1,psi_init,I,D,Classes
27.846,48.239,4.4943,2.6941,79.538,0.40205,0.20537,3.646,1.1685,0.2575,0.15773,1.1661,1.0094,0.42031,0.14258,5.3052,1.0644,4.3721,23.685,2.39E-05,17.92,23.492,38.589,2.63E-06,19.927,-1.1242,0.17929,41,Failure
28.616,48.334,3.4125,3.2498,77.669,0.34283,0.13405,2.5556,1.9352,0.37168,0.19921,4.6279,1.7577,0.52268,0.32829,14.446,1.3225,7.5987,23.203,9.16E-06,16.302,22.911,33.55,2.04E-06,18.441,-0.68827,0.16202,1,Stable
28.607,48.258,2.3366,3.412,75.222,0.5503,0.073683,4.8799,1.4257,0.3846,0.12691,5.5241,1.0745,0.42558,0.088761,6.3182,1.7369,5.1243,24.223,1.61E-05,16.687,24.714,34.642,1.73E-06,19.081,-0.91278,0.0017593,15,Stable
28.336,48.721,5.2093,5.8887,78.226,0.43894,0.14496,0.77945,1.8798,0.42311,0.19349,6.4146,2.2001,0.41767,0.093166,4.3531,1.8765,8.8695,23.795,1.28E-05,16.997,26.099,34.421,1.83E-06,19.199,-1.0575,0.081385,72,Failure
27.372,48.089,2.6273,5.222,73.561,0.49589,0.16657,2.2343,1.1253,0.47437,0.19665,7.3129,1.0953,0.23123,0.11403,4.4476,1.8136,4.9649,26.879,1.94E-05,16.388,24.853,33.592,1.01E-06,18.081,-0.86619,0.066871,1,Stable
28.471,48.862,5.8395,4.5488,69.991,0.3314,0.18569,2.352,3.1336,0.46965,0.11263,70.361,1.7124,0.33096,0.068729,3.4601,1.8773,7.966,24.26,2.88E-05,17.045,22.973,36.604,2.50E-06,19.321,-1.416,0.12246,55,Failure
28.695,48.971,3.8243,4.9927,89.961,0.50557,0.1099,1.4903,2.407,0.59568,0.080655,0.39103,2.5243,0.4304,0.099213,3.5146,1.0458,6.1991,19.561,1.61E-05,16.233,25.738,37.134,1.96E-06,19.633,-0.85857,0.02814,32,Failure
28.921,48.149,2.1729,5.0876,77.234,0.24672,0.14683,72.825,2.4633,0.39752,0.22861,1.5095,1.7147,0.27118,0.1605,2.2128,2.4197,6.2918,23.396,1.01E-05,17.891,25.939,32.12,2.47E-06,19.901,-0.59197,0.0085458,14,Stable
27.618,48.488,5.9607,2.5646,65.392,0.33884,0.1576,1.8838,2.2792,0.35176,0.18024,0.87001,2.4109,0.36455,0.20253,1.9392,1.47,10.467,28.871,1.88E-05,16.554,23.794,35.686,1.52E-06,18.656,-0.99466,0.18443,7,Stable
29.844,48.591,3.9675,4.9222,72.9,0.52694,0.13219,2.4069,1.3596,0.36188,0.058908,3.8976,1.7957,0.47616,0.15535,10.573,1.4812,3.8156,23.322,7.37E-06,16.497,23.614,37.053,1.05E-06,19.957,-0.52828,0.14745,21,Failure
